id,date,time,day,station,code,min_delay,min_gap,bound,line,vehicle,code_info,latitude,longitude,line_name,month,time_range,month_number,hour,year,Index,Check
19,2019-01-01,17:39,Tuesday,GREENWOOD STATION,MUPAA,5,9,E,BD,5162,Passenger Assistance Alarm Activated - No Trouble Found,43.6825,-79.330278,Bloor Danforth,January,3-6PM,1,17,2019,43466GREENWOOD STATION5,#REF!
20,2019-01-01,18:49,Tuesday,BATHURST STATION,MUI,5,9,W,BD,5126,Injured or ill Customer (On Train) - Transported,43.666111,-79.411111,Bloor Danforth,January,6-9PM,1,18,2019,43466BATHURST STATION5,#REF!
21,2019-01-01,19:51,Tuesday,COXWELL STATION,MUO,4,8,E,BD,5131,Miscellaneous Other,43.684167,-79.323056,Bloor Danforth,January,6-9PM,1,19,2019,43466COXWELL STATION4,#REF!
22,2019-01-01,20:56,Tuesday,COXWELL STATION,TUNIP,4,8,E,BD,5009,Operator Not In Position,43.684167,-79.323056,Bloor Danforth,January,6-9PM,1,20,2019,43466COXWELL STATION4,#REF!
23,2019-01-02,5:51,Wednesday,WARDEN STATION,PUSNT,4,0,E,BD,5004,Signal Problem - No Trouble,43.711389,-79.279722,Bloor Danforth,January,5-9AM,1,5,2019,43467WARDEN STATION4,#REF!
24,2019-01-02,6:20,Wednesday,CHRISTIE STATION,PUSTS,4,6,E,BD,5158,Signals - Train Stops,43.664167,-79.418333,Bloor Danforth,January,5-9AM,1,6,2019,43467CHRISTIE STATION4,#REF!
25,2019-01-02,6:24,Wednesday,GREENWOOD STATION,TUNOA,5,10,E,BD,5280,No Operator Immediately Available ,43.6825,-79.330278,Bloor Danforth,January,5-9AM,1,6,2019,43467GREENWOOD STATION5,#REF!
26,2019-01-02,6:43,Wednesday,WILSON STATION,MUSC,5,7,S,YU,5441,Miscellaneous Speed Control,43.734167,-79.45,Yonge University Spadina,January,5-9AM,1,6,2019,43467WILSON STATION5,#REF!
27,2019-01-02,7:03,Wednesday,CASTLE FRANK STATION,SUDP,6,8,E,BD,5218,Disorderly Patron,43.673611,-79.368889,Bloor Danforth,January,5-9AM,1,7,2019,43467CASTLE FRANK STATION6,#REF!
28,2019-01-02,7:04,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,43.734167,-79.45,Yonge University Spadina,January,5-9AM,1,7,2019,43467WILSON STATION3,#REF!
29,2019-01-02,7:20,Wednesday,WILSON STATION,MUESA,3,5,N,YU,0,No Operator Immediately Available,43.734167,-79.45,Yonge University Spadina,January,5-9AM,1,7,2019,43467WILSON STATION3,#REF!
30,2019-01-02,7:48,Wednesday,KIPLING STATION,SUDP,3,6,E,BD,5304,Disorderly Patron,43.637222,-79.536111,Bloor Danforth,January,5-9AM,1,7,2019,43467KIPLING STATION3,#REF!
31,2019-01-02,9:29,Wednesday,DUNDAS STATION,EUPI,3,5,S,YU,5391,Propulsion System,43.656389,-79.380833,Yonge University Spadina,January,9AM-12PM,1,9,2019,43467DUNDAS STATION3,#REF!
32,2019-01-02,11:01,Wednesday,YORK MILLS STATION,MUIR,3,5,N,YU,5886,Injured or ill Customer (On Train) - Medical Aid Refused,43.744167,-79.406667,Yonge University Spadina,January,9AM-12PM,1,11,2019,43467YORK MILLS STATION3,#REF!
33,2019-01-02,14:36,Wednesday,SCARB CTR STATION,ERDO,3,8,N,SRT,3027,Door Problems - Faulty Equipment,#N/A,#N/A,Scarborough Rail Transit,January,12-3PM,1,14,2019,43467SCARB CTR STATION3,#REF!
34,2019-01-02,16:08,Wednesday,ROSEDALE STATION,TUNOA,3,6,S,YU,5896,No Operator Immediately Available ,43.676944,-79.388889,Yonge University Spadina,January,3-6PM,1,16,2019,43467ROSEDALE STATION3,#REF!
35,2019-01-02,16:39,Wednesday,DUNDAS STATION,SUDP,3,6,N,YU,5916,Disorderly Patron,43.656389,-79.380833,Yonge University Spadina,January,3-6PM,1,16,2019,43467DUNDAS STATION3,#REF!
36,2019-01-02,17:00,Wednesday,BESSARION STATION,MUPAA,5,8,E,SHP,6151,Passenger Assistance Alarm Activated - No Trouble Found,43.769167,-79.376389,Sheppard,January,3-6PM,1,17,2019,43467BESSARION STATION5,#REF!
37,2019-01-02,17:10,Wednesday,SPADINA YUS STATION,PUTIJ,6,9,N,YU,5856,Insulated Joint Related Problem,43.66722,-79.40389,Yonge University Spadina,January,3-6PM,1,17,2019,43467SPADINA YUS STATION6,#REF!
38,2019-01-02,17:22,Wednesday,ISLINGTON STATION,SUDP,11,14,E,BD,5091,Disorderly Patron,43.645278,-79.524444,Bloor Danforth,January,3-6PM,1,17,2019,43467ISLINGTON STATION11,#REF!
39,2019-01-02,17:48,Wednesday,MUSEUM STATION,TUDOE,23,25,N,YU,5941,Doors Open in Error,43.667222,-79.393611,Yonge University Spadina,January,3-6PM,1,17,2019,43467MUSEUM STATION23,#REF!
40,2019-01-02,18:04,Wednesday,YONGE BD STATION,MUDD,3,6,W,BD,5246,Door Problems - Debris Related,#N/A,#N/A,Bloor Danforth,January,6-9PM,1,18,2019,43467YONGE BD STATION3,#REF!
41,2019-01-02,18:36,Wednesday,YONGE BD STATION,MUPAA,3,6,W,BD,5137,Passenger Assistance Alarm Activated - No Trouble Found,#N/A,#N/A,Bloor Danforth,January,6-9PM,1,18,2019,43467YONGE BD STATION3,#REF!
42,2019-01-02,19:06,Wednesday,YORK MILLS STATION,MUI,9,11,N,YU,6001,Injured or ill Customer (On Train) - Transported,43.744167,-79.406667,Yonge University Spadina,January,6-9PM,1,19,2019,43467YORK MILLS STATION9,#REF!
43,2019-01-02,19:33,Wednesday,DUPONT STATION,MUSC,3,6,S,YU,5806,Miscellaneous Speed Control,43.674584,-79.40683,Yonge University Spadina,January,6-9PM,1,19,2019,43467DUPONT STATION3,#REF!
44,2019-01-02,19:39,Wednesday,FINCH STATION,PUTD,21,23,N,YU,5506,Track Level Debris - Controllable,43.780556,-79.414722,Yonge University Spadina,January,6-9PM,1,19,2019,43467FINCH STATION21,#REF!
45,2019-01-02,20:37,Wednesday,QUEEN'S PARK STATION,MUPAA,4,7,N,YU,5701,Passenger Assistance Alarm Activated - No Trouble Found,43.66,-79.390556,Yonge University Spadina,January,6-9PM,1,20,2019,43467QUEEN'S PARK STATION4,#REF!
46,2019-01-02,20:42,Wednesday,LAWRENCE STATION,PUSTS,3,5,S,YU,5676,Signals - Train Stops,43.725,-79.402222,Yonge University Spadina,January,6-9PM,1,20,2019,43467LAWRENCE STATION3,#REF!
47,2019-01-02,21:27,Wednesday,SPADINA YUS STATION,PUTIJ,3,6,N,YU,5586,Insulated Joint Related Problem,43.66722,-79.40389,Yonge University Spadina,January,9PM-1:30AM,1,21,2019,43467SPADINA YUS STATION3,#REF!
48,2019-01-02,22:36,Wednesday,ST CLAIR WEST STATION,SUDP,5,10,S,YU,5481,Disorderly Patron,43.683888,-79.415113,Yonge University Spadina,January,9PM-1:30AM,1,22,2019,43467ST CLAIR WEST STATION5,#REF!
49,2019-01-02,22:47,Wednesday,SPADINA YUS STATION,PUTIJ,3,7,N,YU,5451,Insulated Joint Related Problem,43.66722,-79.40389,Yonge University Spadina,January,9PM-1:30AM,1,22,2019,43467SPADINA YUS STATION3,#REF!
50,2019-01-02,23:16,Wednesday,ELLESMERE STATION,ERDO,6,11,S,SRT,3004,Door Problems - Faulty Equipment,43.766944,-79.276389,Scarborough Rail Transit,January,9PM-1:30AM,1,23,2019,43467ELLESMERE STATION6,#REF!
51,2019-01-03,5:37,Thursday,ST GEORGE YUS STATION,MUCL,3,6,S,YU,5906,Divisional Clerk Related,43.66806,-79.39972,Yonge University Spadina,January,5-9AM,1,5,2019,43468ST GEORGE YUS STATION3,#REF!
52,2019-01-03,6:29,Thursday,ST GEORGE BD STATION,PUTIJ,7,12,N,YU,5486,Insulated Joint Related Problem,43.668056, -79.399722,Yonge University Spadina,January,5-9AM,1,6,2019,43468ST GEORGE BD STATION7,#REF!
53,2019-01-03,6:42,Thursday,FINCH STATION,MUTO,4,6,S,YU,5886,Misc. Transportation Other - Employee Non-Chargeable,43.780556,-79.414722,Yonge University Spadina,January,5-9AM,1,6,2019,43468FINCH STATION4,#REF!
54,2019-01-03,7:20,Thursday,GREENWOOD STATION,EUPI,3,5,E,BD,5369,Propulsion System,43.6825,-79.330278,Bloor Danforth,January,5-9AM,1,7,2019,43468GREENWOOD STATION3,#REF!
55,2019-01-03,8:03,Thursday,CHESTER STATION,TUSC,3,5,E,BD,5193,Operator Overspeeding,43.678333,-79.3525,Bloor Danforth,January,5-9AM,1,8,2019,43468CHESTER STATION3,#REF!
56,2019-01-03,10:43,Thursday,UNION STATION,EUTRD,4,7,N,YU,5761,TR Cab Doors,43.645556,-79.380556,Yonge University Spadina,January,9AM-12PM,1,10,2019,43468UNION STATION4,#REF!
57,2019-01-03,11:19,Thursday,OLD MILL STATION,MUDD,6,9,E,BD,5087,Door Problems - Debris Related,43.65,-79.494722,Bloor Danforth,January,9AM-12PM,1,11,2019,43468OLD MILL STATION6,#REF!
58,2019-01-03,16:26,Thursday,BLOOR STATION,MUIR,3,6,S,YU,5826,Injured or ill Customer (On Train) - Medical Aid Refused,#N/A,#N/A,Yonge University Spadina,January,3-6PM,1,16,2019,43468BLOOR STATION3,#REF!
59,2019-01-03,16:26,Thursday,UNION STATION,MUSC,3,6,N,YU,6021,Miscellaneous Speed Control,43.645556,-79.380556,Yonge University Spadina,January,3-6PM,1,16,2019,43468UNION STATION3,#REF!
60,2019-01-03,16:57,Thursday,FINCH STATION,TUO,6,8,S,YU,5951,Transportation Department - Other,43.780556,-79.414722,Yonge University Spadina,January,3-6PM,1,16,2019,43468FINCH STATION6,#REF!
61,2019-01-04,0:13,Friday,GLENCAIRN STATION,MUPR1,120,123,N,YU,5881,Priority One - Train in Contact With Person,43.708889,-79.440833,Yonge University Spadina,January,9PM-1:30AM,1,0,2019,43469GLENCAIRN STATION120,#REF!
62,2019-01-04,1:14,Friday,FINCH STATION,MUIR,5,10,S,YU,5926,Injured or ill Customer (On Train) - Medical Aid Refused,43.780556,-79.414722,Yonge University Spadina,January,9PM-1:30AM,1,1,2019,43469FINCH STATION5,#REF!
63,2019-01-04,1:40,Friday,SPADINA BD STATION,SUO,5,9,W,BD,5245,Passenger Other,43.667222, -79.403889,Bloor Danforth,January,9PM-1:30AM,1,1,2019,43469SPADINA BD STATION5,#REF!
64,2019-01-04,5:44,Friday,FINCH STATION,SUG,4,8,S,YU,5796,Graffiti / Scratchiti,43.780556,-79.414722,Yonge University Spadina,January,5-9AM,1,5,2019,43469FINCH STATION4,#REF!
65,2019-01-04,5:54,Friday,GREENWOOD STATION,TUNIP,5,11,E,BD,5044,Operator Not In Position,43.6825,-79.330278,Bloor Danforth,January,5-9AM,1,5,2019,43469GREENWOOD STATION5,#REF!
66,2019-01-04,6:59,Friday,WARDEN STATION,PUSIS,3,6,E,BD,5152,Signals Track Weather Related,43.711389,-79.279722,Bloor Danforth,January,5-9AM,1,6,2019,43469WARDEN STATION3,#REF!
67,2019-01-04,9:30,Friday,PAPE STATION,SUUT,6,9,E,BD,5224,Unauthorized at Track Level,43.68,-79.345,Bloor Danforth,January,9AM-12PM,1,9,2019,43469PAPE STATION6,#REF!
68,2019-01-04,10:55,Friday,YORKDALE STATION,TUO,4,8,S,YU,5986,Transportation Department - Other,43.724722,-79.4475,Yonge University Spadina,January,9AM-12PM,1,10,2019,43469YORKDALE STATION4,#REF!
69,2019-01-04,11:20,Friday,QUEEN STATION,MUIS,9,12,N,YU,6101,Injured or ill Customer (In Station) - Transported,43.6525,-79.379167,Yonge University Spadina,January,9AM-12PM,1,11,2019,43469QUEEN STATION9,#REF!
70,2019-01-04,12:39,Friday,KENNEDY BD STATION,PUSRA,3,6,W,BD,5361,Subway Radio System Fault ,43.73255,-79.26361,Bloor Danforth,January,12-3PM,1,12,2019,43469KENNEDY BD STATION3,#REF!
71,2019-01-04,15:20,Friday,BLOOR STATION,SUDP,5,8,N,YU,6051,Disorderly Patron,#N/A,#N/A,Yonge University Spadina,January,3-6PM,1,15,2019,43469BLOOR STATION5,#REF!
72,2019-01-04,17:46,Friday,BATHURST STATION,MUI,6,9,E,BD,5193,Injured or ill Customer (On Train) - Transported,43.666111,-79.411111,Bloor Danforth,January,3-6PM,1,17,2019,43469BATHURST STATION6,#REF!
73,2019-01-04,17:52,Friday,DUPONT STATION,MUPAA,3,5,S,YU,5956,Passenger Assistance Alarm Activated - No Trouble Found,43.674584,-79.40683,Yonge University Spadina,January,3-6PM,1,17,2019,43469DUPONT STATION3,#REF!
74,2019-01-04,18:15,Friday,SHEPPARD STATION,TUO,3,5,S,YU,5736,Transportation Department - Other,#N/A,#N/A,Yonge University Spadina,January,6-9PM,1,18,2019,43469SHEPPARD STATION3,#REF!
75,2019-01-04,19:05,Friday,NORTH YORK CTR STATION,MUIR,5,7,N,YU,5556,Injured or ill Customer (On Train) - Medical Aid Refused,43.768333,-79.412778,Yonge University Spadina,January,6-9PM,1,19,2019,43469NORTH YORK CTR STATION5,#REF!
76,2019-01-04,19:33,Friday,ROSEDALE STATION,MUI,13,16,S,YU,5651,Injured or ill Customer (On Train) - Transported,43.676944,-79.388889,Yonge University Spadina,January,6-9PM,1,19,2019,43469ROSEDALE STATION13,#REF!
77,2019-01-04,22:16,Friday,QUEEN STATION,MUPAA,4,9,S,YU,5836,Passenger Assistance Alarm Activated - No Trouble Found,43.6525,-79.379167,Yonge University Spadina,January,9PM-1:30AM,1,22,2019,43469QUEEN STATION4,#REF!
78,2019-01-05,5:58,Saturday,KENNEDY BD STATION,TUO,3,8,W,BD,5290,Transportation Department - Other,43.73255,-79.26361,Bloor Danforth,January,5-9AM,1,5,2019,43470KENNEDY BD STATION3,#REF!
79,2019-01-05,6:00,Saturday,DAVISVILLE STATION,EUBO,5,10,N,YU,5986,Body,43.697778,-79.397222,Yonge University Spadina,January,5-9AM,1,6,2019,43470DAVISVILLE STATION5,#REF!
80,2019-01-05,12:10,Saturday,VICTORIA PARK STATION,PUSTC,3,8,E,BD,5044,Signals - Track Circuit Problems,43.695,-79.288611,Bloor Danforth,January,12-3PM,1,12,2019,43470VICTORIA PARK STATION3,#REF!
81,2019-01-05,14:39,Saturday,SHEPPARD WEST STATION,TUNIP,3,6,N,YU,5551,Operator Not In Position,43.749444,-79.461944,Yonge University Spadina,January,12-3PM,1,14,2019,43470SHEPPARD WEST STATION3,#REF!
82,2019-01-05,16:00,Saturday,DUPONT STATION,TUATC,11,14,N,YU,5841,ATC Operator Related,43.674584,-79.40683,Yonge University Spadina,January,3-6PM,1,16,2019,43470DUPONT STATION11,#REF!
83,2019-01-05,17:32,Saturday,KENNEDY BD STATION,PUSTS,5,9,E,BD,5049,Signals - Train Stops,43.73255,-79.26361,Bloor Danforth,January,3-6PM,1,17,2019,43470KENNEDY BD STATION5,#REF!
84,2019-01-05,20:52,Saturday,WILSON STATION,SUDP,5,10,S,YU,5756,Disorderly Patron,43.734167,-79.45,Yonge University Spadina,January,6-9PM,1,20,2019,43470WILSON STATION5,#REF!
85,2019-01-05,22:55,Saturday,COXWELL STATION,SUDP,8,13,E,BD,5149,Disorderly Patron,43.684167,-79.323056,Bloor Danforth,January,9PM-1:30AM,1,22,2019,43470COXWELL STATION8,#REF!
86,2019-01-06,7:58,Sunday,DAVISVILLE STATION,MUCL,5,10,S,YU,5596,Divisional Clerk Related,43.697778,-79.397222,Yonge University Spadina,January,5-9AM,1,7,2019,43471DAVISVILLE STATION5,#REF!
87,2019-01-06,8:27,Sunday,KENNEDY BD STATION,EUBO,3,8,W,BD,5279,Body,43.73255,-79.26361,Bloor Danforth,January,5-9AM,1,8,2019,43471KENNEDY BD STATION3,#REF!
88,2019-01-06,8:31,Sunday,PAPE STATION,SUO,5,10,E,BD,5239,Passenger Other,43.68,-79.345,Bloor Danforth,January,5-9AM,1,8,2019,43471PAPE STATION5,#REF!
89,2019-01-06,9:50,Sunday,LAWRENCE STATION,MUI,18,23,S,YU,5491,Injured or ill Customer (On Train) - Transported,43.725,-79.402222,Yonge University Spadina,January,9AM-12PM,1,9,2019,43471LAWRENCE STATION18,#REF!
90,2019-01-06,14:20,Sunday,KIPLING STATION,MUIR,4,8,E,BD,5193,Injured or ill Customer (On Train) - Medical Aid Refused,43.637222,-79.536111,Bloor Danforth,January,12-3PM,1,14,2019,43471KIPLING STATION4,#REF!
91,2019-01-06,14:58,Sunday,DAVISVILLE STATION,SUDP,3,7,S,YU,5606,Disorderly Patron,43.697778,-79.397222,Yonge University Spadina,January,12-3PM,1,14,2019,43471DAVISVILLE STATION3,#REF!
92,2019-01-06,22:55,Sunday,KIPLING STATION,SUO,5,10,E,BD,5193,Passenger Other,43.637222,-79.536111,Bloor Danforth,January,9PM-1:30AM,1,22,2019,43471KIPLING STATION5,#REF!
93,2019-01-06,23:34,Sunday,FINCH STATION,MUIR,5,10,N,YU,5781,Injured or ill Customer (On Train) - Medical Aid Refused,43.780556,-79.414722,Yonge University Spadina,January,9PM-1:30AM,1,23,2019,43471FINCH STATION5,#REF!
94,2019-01-07,6:02,Monday,CHRISTIE STATION,PUTWZ,3,7,E,BD,5252,Work Zone Problems - Track,43.664167,-79.418333,Bloor Danforth,January,5-9AM,1,6,2019,43472CHRISTIE STATION3,#REF!
95,2019-01-07,7:56,Monday,CASTLE FRANK STATION,MUIR,3,5,W,BD,5068,Injured or ill Customer (On Train) - Medical Aid Refused,43.673611,-79.368889,Bloor Danforth,January,5-9AM,1,7,2019,43472CASTLE FRANK STATION3,#REF!
96,2019-01-07,8:38,Monday,HIGH PARK STATION,MUIR,3,5,E,BD,5219,Injured or ill Customer (On Train) - Medical Aid Refused,43.653889,-79.466667,Bloor Danforth,January,5-9AM,1,8,2019,43472HIGH PARK STATION3,#REF!
97,2019-01-07,8:44,Monday,KENNEDY BD STATION,TUST,3,5,W,BD,5077,Storm Trains,43.73255,-79.26361,Bloor Danforth,January,5-9AM,1,8,2019,43472KENNEDY BD STATION3,#REF!
98,2019-01-07,9:08,Monday,WELLESLEY STATION,MUIR,5,7,S,YU,6081,Injured or ill Customer (On Train) - Medical Aid Refused,43.665278,-79.383889,Yonge University Spadina,January,9AM-12PM,1,9,2019,43472WELLESLEY STATION5,#REF!
99,2019-01-07,11:51,Monday,SHEPPARD WEST STATION,TUNIP,3,6,N,YU,5931,Operator Not In Position,43.749444,-79.461944,Yonge University Spadina,January,9AM-12PM,1,11,2019,43472SHEPPARD WEST STATION3,#REF!
100,2019-01-07,15:11,Monday,SPADINA BD STATION,SUDP,3,6,E,BD,5191,Disorderly Patron,43.667222, -79.403889,Bloor Danforth,January,3-6PM,1,15,2019,43472SPADINA BD STATION3,#REF!
101,2019-01-07,15:21,Monday,EGLINTON STATION,MUTO,4,7,S,YU,5516,Misc. Transportation Other - Employee Non-Chargeable,43.705833,-79.398333,Yonge University Spadina,January,3-6PM,1,15,2019,43472EGLINTON STATION4,#REF!
102,2019-01-07,15:22,Monday,GLENCAIRN STATION,MUATC,5,8,S,YU,6131,ATC Project,43.708889,-79.440833,Yonge University Spadina,January,3-6PM,1,15,2019,43472GLENCAIRN STATION5,#REF!
103,2019-01-07,16:17,Monday,SHEPPARD WEST STATION,MUIR,5,7,S,YU,6101,Injured or ill Customer (On Train) - Medical Aid Refused,43.749444,-79.461944,Yonge University Spadina,January,3-6PM,1,16,2019,43472SHEPPARD WEST STATION5,#REF!
104,2019-01-07,16:42,Monday,SHEPPARD WEST STATION,MUI,3,5,S,YU,5516,Injured or ill Customer (On Train) - Transported,43.749444,-79.461944,Yonge University Spadina,January,3-6PM,1,16,2019,43472SHEPPARD WEST STATION3,#REF!
105,2019-01-07,17:00,Monday,VAUGHAN MC STATION,TUNIP,3,5,S,YU,5736,Operator Not In Position,43.794167,-79.5275,Yonge University Spadina,January,3-6PM,1,17,2019,43472VAUGHAN MC STATION3,#REF!
106,2019-01-07,17:05,Monday,COXWELL STATION,SUO,15,17,E,BD,5366,Passenger Other,43.684167,-79.323056,Bloor Danforth,January,3-6PM,1,17,2019,43472COXWELL STATION15,#REF!
107,2019-01-07,17:13,Monday,SPADINA YUS STATION,MUI,8,10,S,YU,5601,Injured or ill Customer (On Train) - Transported,43.66722,-79.40389,Yonge University Spadina,January,3-6PM,1,17,2019,43472SPADINA YUS STATION8,#REF!
108,2019-01-07,18:48,Monday,ROYAL YORK STATION,SUEAS,19,22,E,BD,5237,Emergency Alarm Station Activation,43.648056,-79.511389,Bloor Danforth,January,6-9PM,1,18,2019,43472ROYAL YORK STATION19,#REF!
109,2019-01-07,18:59,Monday,VICTORIA PARK STATION,EUNT,9,12,W,BD,5044,Equipment - No Trouble Found,43.695,-79.288611,Bloor Danforth,January,6-9PM,1,18,2019,43472VICTORIA PARK STATION9,#REF!
110,2019-01-07,19:11,Monday,OLD MILL STATION,SUEAS,11,15,W,BD,5129,Emergency Alarm Station Activation,43.65,-79.494722,Bloor Danforth,January,6-9PM,1,19,2019,43472OLD MILL STATION11,#REF!
111,2019-01-07,20:10,Monday,EGLINTON STATION,MUPLB,8,0,S,YU,5821,Fire/Smoke Plan B - Source TTC,43.705833,-79.398333,Yonge University Spadina,January,6-9PM,1,20,2019,43472EGLINTON STATION8,#REF!
112,2019-01-07,20:34,Monday,YORK MILLS STATION,MUPAA,3,6,S,YU,5926,Passenger Assistance Alarm Activated - No Trouble Found,43.744167,-79.406667,Yonge University Spadina,January,6-9PM,1,20,2019,43472YORK MILLS STATION3,#REF!
113,2019-01-07,20:37,Monday,DUNDAS WEST STATION,MUSC,3,6,E,BD,5334,Miscellaneous Speed Control,43.656944,-79.452917,Bloor Danforth,January,6-9PM,1,20,2019,43472DUNDAS WEST STATION3,#REF!
114,2019-01-07,22:09,Monday,ROYAL YORK STATION,SUDP,4,8,W,BD,5023,Disorderly Patron,43.648056,-79.511389,Bloor Danforth,January,9PM-1:30AM,1,22,2019,43472ROYAL YORK STATION4,#REF!
115,2019-01-08,6:21,Tuesday,DUPONT STATION,TUATC,3,7,N,YU,5976,ATC Operator Related,43.674584,-79.40683,Yonge University Spadina,January,5-9AM,1,6,2019,43473DUPONT STATION3,#REF!
116,2019-01-08,6:29,Tuesday,LAWRENCE WEST STATION,TUATC,3,7,N,YU,5891,ATC Operator Related,43.715833,-79.444167,Yonge University Spadina,January,5-9AM,1,6,2019,43473LAWRENCE WEST STATION3,#REF!
117,2019-01-08,7:19,Tuesday,WILSON STATION,TUATC,3,5,S,YU,5961,ATC Operator Related,43.734167,-79.45,Yonge University Spadina,January,5-9AM,1,7,2019,43473WILSON STATION3,#REF!
118,2019-01-08,7:30,Tuesday,GREENWOOD STATION,TUNIP,3,5,E,BD,5198,Operator Not In Position,43.6825,-79.330278,Bloor Danforth,January,5-9AM,1,7,2019,43473GREENWOOD STATION3,#REF!
119,2019-01-08,7:39,Tuesday,WILSON STATION,EUCD,3,5,S,YU,5671,Consequential Delay (2nd Delay Same Fault),43.734167,-79.45,Yonge University Spadina,January,5-9AM,1,7,2019,43473WILSON STATION3,#REF!
120,2019-01-08,7:51,Tuesday,SHEPPARD WEST STATION,SUSA,11,15,S,YU,5526,Sexual Assault,43.749444,-79.461944,Yonge University Spadina,January,5-9AM,1,7,2019,43473SHEPPARD WEST STATION11,#REF!
121,2019-01-08,9:04,Tuesday,WOODBINE STATION,PUSTS,3,5,W,BD,5058,Signals - Train Stops,43.686389,-79.312778,Bloor Danforth,January,9AM-12PM,1,9,2019,43473WOODBINE STATION3,#REF!
